IP,Frequency
114.119.137.0,439
5.188.62.0,31
41.0.2225,4
66.249.69.0,315
74.208.57.0,147
157.55.39.0,91
114.119.152.0,3
76.176.209.0,1
92.0.4515,414
54.36.148.0,113
185.191.171.0,76
41.0.2226,7
135.181.42.0,14
54.36.149.0,2
207.46.13.0,130
31.53.73.0,1
69.125.177.0,1
40.77.167.0,71
40.77.202.0,1
3.92.6.0,5
177.148.205.0,3
40.77.189.0,2
41.0.2224,8
77.75.79.0,5
114.119.148.0,4
62.210.215.0,2
30.0.1599,2
41.0.2227,4
37.0.11.0,4
199.16.157.0,12
192.133.77.0,1
5.252.229.0,4
147.135.137.0,2
88.0.4240,2
114.119.130.0,1
114.119.158.0,1
160.0.3738631,1
18.206.15.0,6
106.75.250.0,1
59.0.3071,3
213.180.203.0,3
5.45.207.0,2
113.31.153.0,1
162.243.168.0,4
63.247.1.0,1
34.220.242.0,2
83.0.4103,8
114.119.128.0,2
45.138.72.0,10
64.0.3282,7
193.191.148.0,77
115.29.203.0,2
5.0.375.99,2
120.235.52.0,1
86.0.4240,2
159.69.189.0,1
88.198.90.0,1
72.0.3815,1
23.228.109.0,6
23.236.48.0,20
74.0.3729,20
52.6.12.0,2
163.172.21.0,1
171.6.227.0,1
80.0.3987,1
184.154.76.0,19
8.20.19-691,1
17.121.114.0,1
77.75.78.0,1
103.131.71.0,3
3.235.151.0,5
212.57.29.0,1
165.225.16.0,1
90.0.4430,3
90.0.818.62,1
54.39.188.0,1
118.103.255.0,1
12.31.13.23,3
106.75.237.0,1
41.0.2228,8
17.121.115.0,1
121.30.179.0,2
66.249.72.0,2
119.8.43.0,2
202.246.252.0,3
114.40.199.0,1
3.93.218.0,6
114.119.159.0,1
117.217.153.0,1
77.75.76.0,3
119.8.50.0,1
17.121.112.0,1
137.74.28.0,46
109.95.125.0,1
62.0.3202,1
175.176.37.0,1
92.0.902.73,1
54.189.230.0,5
135.125.217.0,1
70.49.102.0,1
91.110.58.0,1
1.0.1084,1
19.0.1084,1
106.212.3.0,1
79.0.3945,1
178.20.44.0,1
100.24.120.0,7
35.245.188.0,2
93.76.164.0,1
132.226.133.0,1
85.108.110.0,1
92.40.28.0,1
5.255.253.0,1
24.202.89.0,56
104.227.59.0,4
53.0.2785,4
1.53.5048,4
9.7.13114,4
137.226.113.0,2
159.138.137.0,1
66.249.65.0,1
164.132.128.0,2
75.0.3770,2
89.253.153.0,1
92.12.39.0,1
114.119.142.0,1
114.119.143.0,1
54.166.27.0,6
191.101.234.0,2
88.0.4324,2
188.143.235.0,6
38.0.2125,6
187.53.170.0,1
107.135.220.0,1
85.255.237.0,1
45.79.161.0,4
78.0.3904,4
52.146.58.0,1
40.77.190.0,1
207.154.226.0,3
86.125.14.0,1
207.190.71.0,32
104.35.61.0,1
88.245.22.0,1
91.0.4472,1
77.0.4054,1
105.66.5.0,1
185.220.103.0,2
37.98.85.0,1
33.0.1750,1
208.102.131.0,1
3.95.6.0,5
86.9.176.0,1
87.0.4280,1
94.198.50.0,2
90.32.51.0,1
40.88.21.0,3
209.141.53.0,1
67.0.3396,4
54.0.2952,1
179.43.172.0,1
185.100.87.0,1
185.220.101.0,1
97.65.168.0,1
152.70.190.0,1
2.0.173.1,1
99.239.84.0,51
54.187.77.0,2
52.36.95.0,4
159.65.24.0,6
34.0.1847,6
